Program,Caffeine,Grade_1,Grade_Let,Intuitive,Positive,Motivate,Grade_2,Spray,Time_1,Time_2,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_7,PS_8,PS_9,PS_10,PS_11,PS_12,PS_13,PS_14,PS_15,PS_16,PS_17,PS_18,PS_19,PS_20,RSE_1,RSE_2,RSE_3,RSE_4,RSE_5,RSE_6,RSE_7,RSE_8,RSE_9,RSE_10,SWLS_1,SWLS_2,SWLS_3,SWLS_4,SWLS_5
1,2,59,1,12,15,3.2,74,2,1,3,2,2,4,1,2,5,1,5,2,2,4,3,5,3,5,2,1,4,2,3,4,1,4,4,2,2,4,1,1,3,1,1,1,4,7
1,2,55,1,10,13,2,56,2,1,2,4,2,4,2,2,4,4,4,4,4,3,2,5,5,4,3,3,4,2,4,4,1,3,3,2,3,3,2,1,4,1,1,1,1,3
1,2,76,4,15,15,1.9,78,2,2,2,2,1,5,3,2,4,2,4,1,1,5,1,4,5,5,2,4,4,1,5,3,3,4,4,1,1,4,4,1,3,2,1,1,5,1
1,2,85,3,17,11,4.9,86,1,2,1,4,1,4,1,3,2,4,1,3,2,2,4,4,3,3,3,3,2,3,2,1,4,2,3,2,3,4,4,2,2,3,5,8,3,5
1,2,58,1,11,17,3.4,64,2,2,2,4,3,5,3,3,4,3,3,4,3,5,4,4,2,2,4,4,4,3,2,3,3,4,4,1,3,4,4,1,4,2,1,1,4,3
1,1,67,2,11,15,3.5,79,1,2,1,3,2,3,1,4,2,3,3,4,2,2,3,3,3,3,3,2,3,2,4,3,2,3,3,1,2,4,1,1,3,1,1,3,1,1
1,1,72,4,15,14,4.8,75,1,2,1,3,2,4,3,1,4,3,4,3,2,3,3,5,4,3,4,3,5,2,4,3,1,3,3,1,1,3,2,1,3,6,5,6,4,6
1,1,62,2,15,12,3.9,70,1,2,3,4,2,2,2,4,2,3,4,4,2,5,4,5,3,4,2,2,4,3,3,3,2,3,3,2,2,4,3,2,3,2,1,1,1,2
1,1,70,4,17,11,4.7,86,1,1,2,4,4,5,2,4,4,4,2,4,4,1,5,3,2,2,5,5,4,3,4,3,3,4,4,2,4,3,4,3,2,6,1,2,3,3
1,1,60,2,15,19,3.4,80,1,1,3,4,2,4,4,2,1,1,3,2,2,2,2,4,4,3,1,1,3,3,3,4,1,4,4,1,2,4,2,1,4,2,2,2,3,6
1,1,50,1,12,15,2,81,2,2,2,2,3,1,1,4,1,4,4,3,4,1,5,4,1,2,2,2,4,2,1,3,2,4,4,1,3,4,4,1,3,2,2,2,3,4
1,1,59,1,11,15,1.6,69,2,2,3,4,4,3,1,4,1,5,4,4,4,2,5,5,2,2,1,4,4,2,4,3,3,4,4,1,2,4,1,1,4,1,2,1,3,3
1,1,50,1,10,14,1.9,59,2,1,3,5,4,5,1,1,1,3,2,4,2,3,4,5,2,1,5,4,2,5,4,3,4,3,3,2,4,4,4,3,3,2,3,6,3,3
2,2,54,1,8,12,3.7,60,1,1,3,2,2,3,2,2,5,3,4,4,2,2,1,5,4,4,4,2,3,2,4,2,2,3,4,2,2,3,4,4,2,3,5,5,2,5
2,2,90,3,19,15,4.8,90,1,2,1,4,2,4,2,3,4,2,4,3,4,4,4,4,4,3,2,4,3,4,4,3,3,3,2,2,2,3,3,2,3,2,2,1,3,3
2,2,91,3,17,16,4.7,90,1,2,1,4,4,3,2,2,4,3,3,4,3,3,4,4,4,4,2,2,4,2,4,3,2,3,3,2,3,3,3,3,3,6,2,1,3,6
2,2,52,1,12,16,3.8,70,2,1,2,4,2,2,1,1,4,2,3,4,2,4,4,5,4,3,4,3,4,2,5,3,1,3,3,2,2,3,2,1,3,2,5,2,3,5
2,2,51,1,15,14,3.1,68,1,1,2,3,3,5,4,2,5,3,4,3,3,3,3,4,4,4,2,3,3,3,3,3,3,4,4,1,2,4,3,1,4,1,1,1,1,5
2,2,56,1,14,12,2.9,74,2,2,1,4,3,5,3,2,4,2,3,4,2,2,4,4,3,4,4,4,3,3,5,2,3,3,3,2,2,3,3,3,2,2,2,6,3,4
2,2,89,3,16,15,4.8,89,2,2,1,4,5,5,3,5,5,5,5,5,5,5,4,2,1,3,1,2,5,3,5,3,4,4,3,1,3,4,1,3,4,1,4,3,5,7
2,2,89,3,18,15,2.8,71,2,1,2,5,2,5,2,1,4,2,5,1,1,3,2,4,5,5,1,2,4,2,5,4,3,4,3,2,3,3,1,2,4,1,1,1,1,3
2,1,56,1,15,14,3,75,1,1,2,4,3,3,2,4,3,3,4,3,3,3,3,4,2,2,2,2,2,3,2,3,2,3,3,1,3,3,3,2,2,1,1,1,5,2
2,1,59,1,12,8,3.1,60,1,2,3,4,3,4,3,2,3,3,4,2,4,3,3,3,2,4,4,3,3,2,4,3,3,3,2,3,4,3,4,3,3,3,2,6,3,2
2,1,56,1,13,10,3.2,64,2,2,3,5,5,3,2,4,4,4,3,4,4,2,4,3,1,2,5,4,1,5,1,1,3,4,3,3,3,3,4,3,3,2,1,1,1,2
2,1,76,4,15,12,4.9,80,2,1,3,3,2,3,4,3,3,3,4,2,3,3,4,4,3,4,4,3,4,4,3,3,2,3,3,1,2,3,2,2,3,2,1,1,3,6
2,1,81,3,17,19,4.8,83,1,1,2,4,2,4,2,2,5,4,4,3,2,4,4,4,4,4,4,3,3,1,3,3,1,4,4,1,1,4,2,1,4,2,4,1,3,5
2,1,86,3,16,15,4.8,86,1,2,1,4,1,3,1,4,4,4,2,4,2,3,4,4,4,4,5,4,4,3,4,3,3,3,3,3,3,3,4,4,2,5,3,6,2,2
2,1,62,2,15,14,1.8,69,2,2,3,2,1,3,1,1,5,2,4,2,1,1,4,5,4,5,2,2,4,3,4,4,2,4,4,1,1,4,1,2,3,1,1,3,5,3
2,1,92,3,16,14,1.9,59,2,1,2,1,1,4,4,5,4,2,5,1,1,2,1,5,5,5,2,1,4,1,5,3,2,4,4,2,2,3,2,1,3,2,1,5,7,7
2,2,71,4,15,10,4.5,71,2,1,3,4,2,3,1,4,5,5,3,4,2,2,4,5,2,2,5,1,3,3,4,3,3,4,2,2,3,3,4,1,2,1,1,1,3,3
2,2,66,2,12,16,3.2,81,2,2,1,3,3,1,1,1,1,3,3,2,2,3,4,4,4,4,3,4,4,4,3,3,1,3,3,3,2,4,4,2,3,6,3,6,2,5
2,2,61,2,12,17,3.8,76,1,2,3,4,2,4,3,2,5,2,4,3,1,3,3,4,2,3,4,4,2,4,3,4,1,4,3,1,1,3,2,1,3,1,1,3,1,1
2,2,82,3,16,14,4.7,82,1,1,3,4,1,3,1,2,2,3,2,3,1,1,2,5,4,3,4,4,3,4,5,3,3,3,3,2,3,3,3,3,2,6,5,6,3,2
2,2,92,3,19,11,4.7,90,1,1,1,4,3,4,3,3,4,3,4,3,2,3,3,4,3,3,2,2,3,3,2,2,3,3,2,2,3,2,4,3,2,3,6,5,4,2
2,2,89,3,14,15,4.9,89,2,2,2,1,1,5,1,1,1,5,5,4,2,2,4,4,3,3,1,5,5,1,5,4,2,4,4,1,1,1,3,1,4,4,4,3,3,7
2,2,72,4,12,16,4.8,78,1,2,2,3,2,3,3,3,5,3,3,3,3,3,3,4,4,4,2,2,3,4,4,3,2,4,4,1,2,3,3,1,3,1,1,1,1,3
2,2,56,1,12,15,2.6,56,2,1,2,2,3,4,2,4,4,3,2,4,3,4,2,2,4,3,3,2,3,1,3,2,2,4,4,2,3,3,3,2,3,3,6,2,2,3
2,1,55,1,11,11,2.5,83,2,1,3,5,5,5,3,3,4,3,2,3,2,2,1,4,4,4,2,5,3,4,3,2,4,3,4,2,2,2,4,4,1,6,5,8,4,3
2,1,52,1,14,15,1.9,64,2,2,3,1,5,1,1,5,1,5,3,5,5,5,5,5,1,1,3,2,2,5,3,3,2,3,3,1,2,3,2,2,4,1,4,1,3,2
2,1,52,1,14,18,1.8,90,2,2,2,4,5,4,2,5,4,4,2,4,4,2,4,4,2,1,3,2,1,4,2,3,2,3,3,2,2,4,3,1,3,1,1,1,5,3
2,1,54,1,10,13,2.4,67,2,1,3,4,4,5,3,3,5,2,4,2,4,2,4,4,4,4,2,2,5,2,4,4,1,4,4,1,2,4,4,1,4,1,4,3,5,7
2,1,78,4,12,14,2.5,86,1,1,2,2,2,5,4,2,5,3,4,2,3,4,2,4,3,4,2,3,4,2,5,3,3,3,3,2,2,3,2,2,3,1,1,1,1,3
2,1,45,6,15,16,2.5,62,2,1,2,3,2,2,2,4,5,3,3,3,2,4,3,4,3,3,4,2,4,2,5,3,2,4,4,2,3,4,3,1,3,2,2,2,4,5
2,1,73,4,16,12,4.8,80,1,1,1,3,3,3,4,3,2,3,4,4,4,5,5,5,4,3,4,4,4,4,4,3,4,3,3,3,4,2,4,4,4,6,3,2,2,6
2,1,86,3,19,15,4.9,87,1,1,1,2,4,2,2,4,2,2,4,4,2,2,4,4,4,2,4,4,2,4,4,3,2,3,3,2,3,3,3,2,3,2,3,5,2,3
2,2,79,4,14,15,1.9,65,2,1,2,5,1,1,4,3,5,3,4,1,1,4,1,5,5,5,1,1,5,2,5,3,1,4,4,1,2,4,4,2,2,1,2,2,5,1
2,2,63,2,14,14,2.5,60,1,1,3,4,2,3,1,1,5,5,4,5,2,4,5,5,2,2,5,5,3,5,5,3,4,3,2,3,3,3,4,1,3,1,4,2,3,7
2,2,64,2,10,15,2.6,62,1,1,3,3,4,5,1,5,2,4,4,4,4,4,5,4,2,4,4,5,3,5,4,2,4,4,4,2,3,3,4,2,3,5,3,5,4,2
2,2,75,4,10,17,2.4,74,2,1,2,3,2,3,4,3,4,2,4,3,4,2,3,4,4,4,2,4,4,3,4,3,2,3,3,2,3,3,4,3,3,2,5,6,3,2
2,2,55,1,11,16,2.4,61,1,1,3,1,1,1,1,1,4,1,3,1,1,1,1,5,4,5,3,3,5,2,5,3,2,4,4,2,2,4,3,1,3,2,2,1,1,2
2,2,77,4,15,12,4.7,80,2,2,1,3,2,4,2,4,2,3,2,4,2,3,4,2,4,2,4,3,3,3,4,3,1,2,3,2,3,2,3,2,3,6,1,2,4,2
2,2,71,4,13,20,2.1,69,1,2,2,2,2,4,3,2,5,3,4,2,2,2,2,5,5,4,2,3,4,3,4,3,2,4,4,1,1,4,2,1,3,2,1,1,1,1
2,2,83,3,14,12,2.3,83,2,2,2,2,1,2,4,2,4,2,2,2,2,3,1,4,5,4,4,2,4,2,5,3,3,3,4,2,2,3,3,2,3,2,2,2,4,1
2,1,70,4,14,17,4.9,78,2,2,2,3,1,3,1,2,5,2,5,2,3,1,1,4,4,4,5,4,4,3,3,4,2,4,4,1,3,3,4,2,3,1,1,3,4,4
2,1,59,1,9,17,3.1,60,1,2,2,4,1,4,2,3,5,3,1,3,4,4,4,3,3,3,5,1,3,1,1,4,4,4,2,2,1,1,1,3,2,4,4,1,4,2
2,1,77,4,9,14,4.7,75,2,2,2,3,2,4,4,4,4,3,2,4,3,4,4,4,3,3,3,4,3,4,4,2,3,3,2,3,3,2,4,2,3,6,2,2,7,5
2,1,67,2,7,15,3.8,70,1,2,2,4,1,4,1,4,2,2,3,4,4,4,2,4,2,4,4,2,2,3,2,2,3,3,3,2,2,3,4,1,2,5,3,5,4,4
2,1,73,4,12,13,4.9,79,1,2,1,4,4,2,4,2,3,1,4,4,4,2,2,4,2,2,5,4,4,4,4,3,2,4,3,1,3,3,3,2,4,1,1,1,4,3
2,1,51,1,10,9,2.1,65,2,2,3,5,5,1,1,5,1,4,1,5,5,4,5,3,1,1,5,5,1,5,2,2,4,2,2,3,4,2,3,3,1,3,6,8,6,6
2,1,69,2,11,10,2.6,87,2,2,1,5,1,5,2,2,4,3,4,3,3,4,3,4,4,4,1,2,2,2,2,4,1,4,3,2,1,4,2,1,4,4,4,3,5,3
2,2,77,4,14,12,2.7,80,2,1,1,2,2,4,4,4,1,4,4,2,1,5,2,5,3,4,3,1,3,4,4,3,1,4,4,1,2,4,3,1,3,5,2,1,1,2
2,2,66,2,15,15,3.1,69,1,1,3,2,2,3,4,2,4,2,3,2,2,2,2,4,3,4,4,3,5,2,5,3,3,3,3,2,3,4,2,2,3,1,2,2,3,4
2,2,63,2,14,15,3.9,78,1,2,1,4,3,4,2,3,4,3,4,2,4,3,4,2,4,3,5,5,4,3,3,3,2,4,4,2,3,4,1,1,4,4,4,3,5,1
2,2,64,2,12,18,3.8,79,1,2,1,1,3,5,2,2,4,4,5,1,5,1,3,3,3,2,4,2,4,3,3,4,2,3,1,2,1,1,2,3,4,6,4,6,4,5
2,2,66,2,12,14,2.4,71,1,1,3,2,2,4,2,2,3,1,4,4,1,3,4,4,4,5,2,2,2,1,4,2,3,4,3,2,3,3,3,2,3,2,1,5,1,2
2,2,55,1,10,13,2.5,56,2,2,2,3,2,5,2,2,5,3,5,3,3,3,3,5,4,3,2,2,2,3,5,3,2,3,3,2,2,4,2,1,3,6,1,1,1,1
2,2,58,1,12,15,2.5,63,2,1,2,3,2,5,3,4,4,3,5,4,3,2,4,5,3,4,3,3,3,3,3,3,3,4,3,2,2,4,3,2,3,4,4,3,5,7
2,2,76,4,15,20,2.4,76,1,2,1,2,1,5,1,1,2,1,4,2,1,2,1,5,3,3,1,1,3,3,4,3,1,4,4,1,1,4,2,1,4,5,3,6,2,1
